id;title;price;description;author_id;author_name
5;hindi;199;this is hindi book;1;jay
6;hindi;199;this is hindi book;1;jay
7;hindi;199;this is hindi book;1;jay
8;hindi;199;this is hindi book;1;jay
9;Mathematics ;299;this is mathematics  book;2;ajay
10;Mathematics ;299;this is mathematics  book;2;ajay
11;Mathematics ;299;this is mathematics  book;2;ajay
12;Mathematics ;299;this is mathematics  book;2;ajay
13;Science;299;this is Science book;1;jay
14;Science;299;this is Science book;1;jay
15;English;249;this is english book;2;ajay
16;English;249;this is english book;2;ajay
17;English;249;this is english book;2;ajay
18;English;249;this is english book;2;ajay
19;Mathematics 3;199;this is mathematics 3  book;1;jay
20;Mathematics 3;199;this is mathematics 3  book;1;jay
